Company,FileNo,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
"ConnectiCare Insurance Company, Inc",800414,01/25/2018,02/26/2018,,,Unfair Claims Practice,CPT Code Issue,Contract Provision,Furnished Information,0.00,Closed
Essentia Insurance Company,800668,02/08/2018,02/26/2018,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",705689,12/18/2017,02/26/2018,Group Health,Preventative,Unfair Claims Practice,Denial of Claim,Claim Settled,Voluntary Reconsider,1289.24,Closed
ConnectiCare Inc,800452,01/26/2018,02/26/2018,,,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
Progressive Direct Insurance Company,800371,01/24/2018,02/26/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",800654,02/07/2018,02/27/2018,,,Unfair Claims Practice,Denial of Claim,Satisfied,Voluntary Reconsider,0.00,Closed
Allstate Fire and Casualty Insurance Company,800231,01/17/2018,02/27/2018,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Providence Mutual Fire Insurance Company,803801,08/13/2018,08/14/2018,Auto,,Unknown,No Subreason,Complaint Withdrawn,No Action Necessary,0.00,Closed
RiverSource Life Insurance Company,800636,02/06/2018,02/27/2018,Individual Long Term Care,No SubCov - AH,Unfair Claims Practice,Contract Provision,Contract Provision,Furnished Information,0.00,Closed
Prudential Insurance Company of America,800305,01/19/2018,02/27/2018,Ind Disability Income,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Claim Settled,Furnished Information,62060.00,Closed
Aetna Life Insurance Company,800438,01/26/2018,02/09/2018,Group Disability Income,Long Term Group,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",800681,02/08/2018,02/27/2018,Individual Health,Out-Patient,Unfair Claims Practice,Contract Provision,Claim Settled,Furnished Information,0.00,Closed
Aetna Life Insurance Company,800438,01/26/2018,02/09/2018,,,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
John Hancock Life Insurance Company (USA),802201,05/08/2018,06/22/2018,Individual Long Term Care,Partnership,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Minnesota Life Insurance Company,800448,01/26/2018,02/27/2018,A & H,No SubCov - AH,Marketing/Sales,Mis-Quote,Furnished Information,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,800231,01/17/2018,02/27/2018,Auto,,Underwriting,Cancellation,Pol Restored/Reinstated,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",705774,12/22/2017,02/27/2018,Individual Health,No SubCov - AH,Premium and Rating,Premium/Notice,Contract Provision,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",800591,02/02/2018,02/27/2018,Exchange-Individual Hlth,Out-Patient,Unfair Claims Practice,Eligibility of Provider,Contract Provision,Furnished Information,0.00,Closed
Brighthouse Life Insurance Company,800846,02/20/2018,02/27/2018,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",800041,01/05/2018,02/27/2018,,,Unfair Claims Practice,Denial of Claim,Claim Settled,Voluntary Reconsider,67.27,Closed
"Anthem Health Plans, Inc",800041,01/05/2018,02/27/2018,Individual Health,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Claim Settled,Voluntary Reconsider,67.27,Closed
"ConnectiCare Benefits, Inc.",800509,01/30/2018,02/27/2018,Exchange-Individual Hlth,In-Patient,Unfair Claims Practice,Eligibility of Provider,Contract Provision,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",800654,02/07/2018,02/27/2018,Group Health,Bariatric Surgery,Unfair Claims Practice,Denial of Claim,Satisfied,Voluntary Reconsider,0.00,Closed
RiverSource Life Insurance Company,800636,02/06/2018,02/27/2018,,,Unfair Claims Practice,Contract Provision,Contract Provision,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",800757,02/14/2018,02/27/2018,Exchange-Individual Hlth,No SubCov - AH,Premium and Rating,Premium/Notice,Cancellation Upheld,Furnished Information,0.00,Closed
"Seneca Insurance Company, Inc.",800612,02/05/2018,02/28/2018,Homeowners,,Premium and Rating,Premium Refund Delay,Premium Refund,Unjustified,0.00,Closed
United American Insurance Company,800984,02/26/2018,02/28/2018,,,Marketing/Sales,Policy Service Delay,Satisfactory Explanation,Unjustified,0.00,Closed
United Services Automobile Association,800458,01/26/2018,02/28/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Procedure,Corrective Action,Justified,0.00,Closed
"ConnectiCare Insurance Company, Inc",800385,01/24/2018,02/28/2018,,,Utilization Review,Medical Necessity,Contract Provision,Furnished Information,0.00,Closed
United Services Automobile Association,800458,01/26/2018,02/28/2018,,,Unfair Claims Practice,Claim Procedure,Corrective Action,Justified,0.00,Closed
"Anthem Health Plans, Inc",703671,08/11/2017,02/28/2018,Individual Health,Prescription,Utilization Review,UR Procedure,External Review Info Sent,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,803200,07/12/2018,08/14/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Underwriters at Lloyds London,800732,02/13/2018,02/28/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
CSAA Fire & Casualty Insurance Company,800802,02/16/2018,02/28/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
United States Fire Insurance Company,800502,01/29/2018,02/28/2018,Travel Insurance,,Unfair Claims Practice,Claim Delays,Corrective Action,Unjustified,0.00,Closed
American Income Life Insurance Company,800500,01/29/2018,02/28/2018,Individual Life,Other,Marketing/Sales,Misrepresentation,Corrective Action,Unjustified,0.00,Closed
United American Insurance Company,800984,02/26/2018,02/28/2018,Individual Annuity,Fixed Annuity,Marketing/Sales,Policy Service Delay,Satisfactory Explanation,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",800632,02/06/2018,03/09/2018,,,Employer Handling,Discontinuation & Replmnt,Claim Settled,Justified,0.00,Closed
Government Employees Insurance Company,901176,03/12/2019,03/26/2019,Auto,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",800385,01/24/2018,02/28/2018,Group Health,Prescription,Utilization Review,Medical Necessity,Contract Provision,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",802572,06/04/2018,08/14/2018,Group Health,Colonoscopy,Unfair Claims Practice,Eligibility of Provider,Claim Settled,Voluntary Reconsider,649.00,Closed
"Foremost Insurance Company Grand Rapids, Michigan",800892,02/21/2018,03/01/2018,Tenant Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Underwriters at Lloyds London,800677,02/08/2018,03/01/2018,,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,176175.77,Closed
"Anthem Health Plans, Inc",800766,02/14/2018,03/01/2018,Exchange-Individual Hlth,Lab Services,Unfair Claims Practice,Unsatisfactory Settlement,Furnished Information,Furnished Information,0.00,Closed
State Farm Mutual Automobile Insurance Company,800805,02/16/2018,03/01/2018,Auto Medical Payment,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Underwriters at Lloyds London,800677,02/08/2018,03/01/2018,Auto Medical Payment,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,176175.77,Closed
"Anthem Health Plans, Inc",704599,10/11/2017,03/01/2018,Exchange-Individual Hlth,Lyme Disease,Utilization Review,UR Procedure,Coverage Extended,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",900793,02/19/2019,03/06/2019,Group Health,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Company Position Upheld,Furnished Information,0.00,Closed
Merrimack Mutual Fire Insurance Company,800825,02/20/2018,03/01/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Refer To Appraisal,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",800763,02/14/2018,03/01/2018,Group Health,Lab Services,Unfair Claims Practice,Eligibility of Provider,Contract Provision,Furnished Information,0.00,Closed
Farm Family Casualty Insurance Company,800724,02/13/2018,03/01/2018,Homeowners,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
"Cigna HealthCare of Connecticut, Inc",800199,01/16/2018,03/02/2018,Dental,Dental,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Furnished Information,65.00,Closed
Allstate Fire and Casualty Insurance Company,803034,06/29/2018,08/14/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Justified,0.00,Closed
LM General Insurance Company,705751,12/21/2017,01/09/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Corrective Action,Justified,1000.00,Closed
State Farm Mutual Automobile Insurance Company,900310,01/22/2019,02/26/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Refer-Judicial/Attorney,Unjustified,0.00,Closed
"ConnectiCare Benefits, Inc.",801003,02/27/2018,03/02/2018,,,Premium and Rating,Premium/Rate Increase,Satisfied,No Action Necessary,0.00,Closed
American Commerce Insurance Company,800278,01/18/2018,02/20/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Additional Money Received,Justified,2532.78,Closed
GEICO Indemnity Company,800546,01/31/2018,02/27/2018,Auto,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
LM General Insurance Company,705751,12/21/2017,01/09/2018,Auto Liability,,Unfair Claims Practice,Diminished Value,Enter Arbitration,Questionable,0.00,Closed
Accordia Life and Annuity Company,800584,02/02/2018,03/02/2018,Individual Life,Universal Life,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
"ConnectiCare Benefits, Inc.",801003,02/27/2018,03/02/2018,Individual Health,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Satisfied,No Action Necessary,0.00,Closed
Hanover Insurance Company (The),800692,02/09/2018,03/02/2018,Other [Enter Coverage],,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",800675,02/08/2018,03/02/2018,Group Health,In-Patient,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
GEICO Indemnity Company,800546,01/31/2018,02/27/2018,Auto,,Unfair Claims Practice,Denial of Claim,Coverage Denied,Unjustified,0.00,Closed
Citizens Insurance Company of America,800692,02/09/2018,03/02/2018,Other [Enter Coverage],,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",800875,02/21/2018,03/02/2018,Individual Health,No SubCov - AH,Premium and Rating,Premium/Notice,Corrective Action,Furnished Information,825.00,Closed
Progressive Direct Insurance Company,800704,02/13/2018,03/02/2018,Auto Physical Damage,,Unfair Claims Practice,Loss of Use,Company Position Upheld,Unjustified,0.00,Closed
Universal North America Insurance Company,705596,12/12/2017,01/24/2018,,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",800675,02/08/2018,03/02/2018,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",800925,02/22/2018,03/02/2018,Individual Health,No SubCov - AH,Marketing/Sales,Duplicate Coverage,Premium Refund,Voluntary Reconsider,1138.00,Closed
Kemper Independence Insurance Company,800908,02/21/2018,03/02/2018,Homeowners,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
Universal North America Insurance Company,705596,12/12/2017,01/24/2018,Homeowners,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Allstate Insurance Company,800764,02/14/2018,03/02/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Gerber Life Insurance Company,800869,02/21/2018,03/02/2018,Individual Life,Term Life,Marketing/Sales,Misleading Advertising,Corrective Action,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,803486,07/27/2018,08/14/2018,Auto Liability,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Selective Insurance Company of the Southeast,800778,02/15/2018,03/05/2018,,,Premium and Rating,Premium Refund Delay,Company Position Upheld,Unjustified,0.00,Closed
Government Employees Insurance Company,800744,02/14/2018,03/05/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",705640,12/14/2017,03/05/2018,Group Health,Lab Services,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Furnished Information,478.03,Closed
Amica Mutual Insurance Company,801075,03/01/2018,03/05/2018,Auto Medical Payment,,Unfair Claims Practice,Claim Delays,Complaint Withdrawn,No Action Necessary,0.00,Closed
Amica Mutual Insurance Company,801075,03/01/2018,03/05/2018,,,Unfair Claims Practice,Claim Delays,Complaint Withdrawn,No Action Necessary,0.00,Closed
"ConnectiCare Benefits, Inc.",800325,01/22/2018,01/31/2018,Exchange-Individual Hlth,No SubCov - AH,Premium and Rating,Premium/Notice,Furnished Information,Furnished Information,0.00,Closed
National Specialty Insurance Company,800777,02/15/2018,03/05/2018,Commercial Auto,,Underwriting,Non-Renewal,Non-Renewal Rescinded,Justified,0.00,Closed
State Farm Fire & Casualty Company,800315,01/22/2018,03/05/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Brighthouse Life Insurance Company,800929,02/22/2018,03/05/2018,Individual Long Term Care,No SubCov - AH,Marketing/Sales,Policy Service,Company Position Upheld,Furnished Information,0.00,Closed
National Specialty Insurance Company,800777,02/15/2018,03/05/2018,,,Underwriting,Non-Renewal,Non-Renewal Rescinded,Justified,0.00,Closed
Selective Insurance Company of the Southeast,800778,02/15/2018,03/05/2018,Other [Enter Coverage],,Premium and Rating,Premium Refund Delay,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",800211,01/16/2018,02/05/2018,Group Health,Durable Medical Equipment,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
American Commerce Insurance Company,800896,02/21/2018,03/05/2018,Auto,,Premium and Rating,Premium/Notice,Corrective Action,Unjustified,1280.08,Closed
"Oxford Health Plans (CT), Inc",800604,02/05/2018,03/05/2018,Group Health,Lab Services,Unfair Claims Practice,Unsatisfactory Settlement,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",800594,02/02/2018,03/05/2018,Group Health,Prescription,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
New London County Mutual Insurance Company,800868,02/21/2018,03/05/2018,Homeowners,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
"Oxford Health Plans (CT), Inc",800604,02/05/2018,03/05/2018,,,Unfair Claims Practice,Unsatisfactory Settlement,Furnished Information,Furnished Information,0.00,Closed
Government Employees Insurance Company,800744,02/14/2018,03/05/2018,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Arch Insurance Company,800460,01/26/2018,03/05/2018,General Liability,,Unfair Claims Practice,Unsatisfactory Offer,Enter Arbitration,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",800171,01/12/2018,03/05/2018,Medicare Advantage,No SubCov - AH,Marketing/Sales,Producer Handling,Furnished Information,Furnished Information,0.00,Closed
American Network Insurance Company,801098,03/05/2018,03/06/2018,Individual Long Term Care,No SubCov - AH,Unfair Claims Practice,Other [Enter Sub-Reason],Coverage Extended,Furnished Information,0.00,Closed
Standard Fire Insurance Company (The),800642,02/06/2018,03/06/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",800004,01/02/2018,03/06/2018,Group Health,Out-Patient,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
Permanent General Assurance Corporation,803473,07/27/2018,08/14/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Brighthouse Life Insurance Company,800845,02/20/2018,03/06/2018,Individual Long Term Care,Long Term Individual,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
Progressive Casualty Insurance Company,800828,02/20/2018,03/06/2018,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"Foremost Insurance Company Grand Rapids, Michigan",800609,02/05/2018,03/06/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,800643,02/06/2018,03/06/2018,Auto Liability,,Unfair Claims Practice,After Mrkt Prts/Unsat Set,Additional Money Received,Unjustified,765.81,Closed
"Foremost Insurance Company Grand Rapids, Michigan",800609,02/05/2018,03/06/2018,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,800643,02/06/2018,03/06/2018,,,Unfair Claims Practice,After Mrkt Prts/Unsat Set,Additional Money Received,Unjustified,765.81,Closed
"ConnectiCare Benefits, Inc.",800608,02/05/2018,03/06/2018,Exchange-Individual Hlth,Prescription,Marketing/Sales,Misrepresentation,Furnished Information,Justified,0.00,Closed
Steadfast Insurance Company,800540,01/30/2018,03/06/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Justified,14788.26,Closed
SAFECO Insurance Company of Illinois,800830,02/20/2018,03/06/2018,Auto Physical Damage,,Unfair Claims Practice,Actual Cash Value Dispute,Enter Arbitration,Questionable,0.00,Closed
SAFECO Insurance Company of Illinois,800545,01/31/2018,03/06/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
GEICO Indemnity Company,800893,02/21/2018,03/06/2018,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Fidelity Security Life Insurance Company,800684,02/09/2018,03/06/2018,Individual Life,Whole Life,Premium and Rating,Other [Enter Sub-Reason],Cancellation Withdrawn,No Action Necessary,0.00,Closed
Guarantee Trust Life Insurance Company,800812,02/16/2018,03/06/2018,Limited Benefit Health,Emergency,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",800720,02/13/2018,03/06/2018,Individual Health,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
ConnectiCare Inc,801100,03/05/2018,03/07/2018,Individual Health,No SubCov - AH,Underwriting,Cancellation,Coverage Granted,Voluntary Reconsider,0.00,Closed
"Anthem Health Plans, Inc",805408,11/15/2018,12/17/2018,Dental,Dental,Unfair Claims Practice,Denial of Claim,Coverage Granted,Furnished Information,0.00,Closed
United States Fire Insurance Company,800367,01/24/2018,03/07/2018,,,Unfair Claims Practice,Claim Delays,Complaint Withdrawn,No Action Necessary,0.00,Closed
"ConnectiCare Benefits, Inc.",800813,02/16/2018,03/07/2018,Exchange-Individual Hlth,No SubCov - AH,Marketing/Sales,Policy Service Delay,Policy Not In Force,Furnished Information,0.00,Closed
United States Fire Insurance Company,800367,01/24/2018,03/07/2018,Travel Insurance,,Unfair Claims Practice,Claim Delays,Complaint Withdrawn,No Action Necessary,0.00,Closed
Government Employees Insurance Company,800742,02/14/2018,03/07/2018,,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
"Foremost Insurance Company Grand Rapids, Michigan",800861,02/20/2018,03/07/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",705590,12/12/2017,03/07/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Coordination of Benefit,Company Position Upheld,Furnished Information,0.00,Closed
Transamerica Casualty Insurance Company,800765,02/14/2018,03/07/2018,Travel Insurance,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Government Employees Insurance Company,800742,02/14/2018,03/07/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
"ConnectiCare Benefits, Inc.",800874,02/21/2018,03/07/2018,Exchange-Individual Hlth,No SubCov - AH,Marketing/Sales,Policy Service Delay,Furnished Information,Furnished Information,0.00,Closed
State Farm Fire & Casualty Company,800811,02/16/2018,03/07/2018,Dwelling Fire,,Underwriting,Refusal to Insure,Pol Restored/Reinstated,Justified,0.00,Closed
General Casualty Company of Wisconsin,800804,02/16/2018,03/07/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,1896.42,Closed
Bristol West Insurance Company,800252,01/17/2018,03/07/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
SAFECO Insurance Company of Illinois,705581,12/12/2017,01/19/2018,Auto Liability,,Unfair Claims Practice,Loss of Use,Company Position Upheld,Unjustified,0.00,Closed
Northland Insurance Company,800694,02/09/2018,03/09/2018,Commercial Auto,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
State Farm Fire & Casualty Company,800913,02/22/2018,03/09/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
GEICO Indemnity Company,800833,02/20/2018,03/09/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,2593.80,Closed
"Anthem Health Plans, Inc",800631,02/06/2018,03/09/2018,Group Health,Durable Medical Equipment,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
Merrimack Mutual Fire Insurance Company,800897,02/21/2018,03/09/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Questionable,0.00,Closed
"Anthem Health Plans, Inc",800883,02/21/2018,03/09/2018,Exchange-Individual Hlth,No SubCov - AH,Marketing/Sales,Policy Service Delay,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",800632,02/06/2018,03/09/2018,Group Health,In-Patient,Employer Handling,Discontinuation & Replmnt,Claim Settled,Justified,0.00,Closed
Aetna Life Insurance Company,801015,02/27/2018,03/09/2018,Group Disability Income,Short Term Group,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,0.00,Closed
Virginia Surety Company Inc.,800901,02/21/2018,03/09/2018,Travel Insurance,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,800912,02/22/2018,03/09/2018,,,Unfair Claims Practice,Storage Fees,Company Position Upheld,Unjustified,0.00,Closed
Allstate Property and Casualty Insurance Company,800333,01/23/2018,03/09/2018,Homeowners,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Empire Fire and Marine Insurance Company,800695,02/09/2018,03/09/2018,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Corrective Action,Justified,20208.59,Closed
"Oxford Health Plans (CT), Inc",800632,02/06/2018,03/09/2018,,,Employer Handling,Discontinuation & Replmnt,Furnished Information,Furnished Information,0.00,Closed
GEICO Indemnity Company,800934,02/23/2018,03/09/2018,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Claim Settled,Unjustified,0.00,Closed
Covenant Insurance Company,800436,01/26/2018,02/08/2018,,,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Unjustified,5923.33,Closed
Homesite Insurance Company,800937,02/23/2018,03/09/2018,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,800912,02/22/2018,03/09/2018,Auto Liability,,Unfair Claims Practice,Storage Fees,Company Position Upheld,Unjustified,0.00,Closed
"Oxford Health Plans (CT), Inc",800632,02/06/2018,03/09/2018,Group Health,In-Patient,Employer Handling,Discontinuation & Replmnt,Furnished Information,Furnished Information,0.00,Closed
GEICO General Insurance Company,800761,02/14/2018,03/09/2018,Auto Physical Damage,,Unfair Claims Practice,Loss of Use,Company Position Upheld,Unjustified,0.00,Closed
Allstate Property and Casualty Insurance Company,800333,01/23/2018,03/09/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
State Farm Mutual Automobile Insurance Company,800706,02/13/2018,03/09/2018,Auto Physical Damage,,Unfair Claims Practice,After Mrkt Prts/Unsat Set,Company Position Upheld,Unjustified,0.00,Closed
Aetna Insurance Company of Connecticut,800967,02/26/2018,03/09/2018,Dental,Dental,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,800619,02/05/2018,03/09/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Refer-Judicial/Attorney,Justified,0.00,Closed
GEICO Indemnity Company,800895,02/21/2018,03/09/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,800803,02/16/2018,03/09/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Aetna Life Insurance Company,805565,11/28/2018,12/17/2018,Group Health,Behavl Hlth/Subst Abuse,Unfair Claims Practice,Eligibility of Provider,Provider Issue,Furnished Information,0.00,Closed
Standard Fire Insurance Company (The),800129,01/10/2018,03/09/2018,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",800903,02/21/2018,03/09/2018,Exchange-Individual Hlth,No SubCov - AH,Marketing/Sales,Failed to Remit Premium,Furnished Information,Furnished Information,0.00,Closed
Covenant Insurance Company,800436,01/26/2018,02/08/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Unjustified,5923.33,Closed
Kemper Independence Insurance Company,800990,02/26/2018,03/12/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"Oxford Health Plans (CT), Inc",805256,11/07/2018,12/17/2018,Group Health,Behavl Hlth/Subst Abuse,Unfair Claims Practice,Provider Contract Issue,Claim Settled,Justified,1260.50,Closed
Fidelity & Guaranty Life Insurance Company,800822,02/20/2018,03/12/2018,Individual Life,Term Life,Marketing/Sales,Misleading Advertising,Corrective Action,Unjustified,0.00,Closed
USAA Casualty Insurance Company,800741,02/14/2018,03/12/2018,,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Allstate Insurance Company,800915,02/22/2018,03/12/2018,Condo Unit Owner,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"ConnectiCare Benefits, Inc.",800946,02/23/2018,03/12/2018,Exchange-Individual Hlth,No SubCov - AH,Marketing/Sales,Failed to Remit Premium,Furnished Information,Furnished Information,0.00,Closed
GEICO Indemnity Company,800914,02/22/2018,03/12/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,608.85,Closed
LM General Insurance Company,803482,07/27/2018,08/14/2018,Auto Liability,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Life Insurance Company of North America,801060,03/01/2018,03/01/2018,Group Disability Income,Short Term Group,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
